State,Regular,Premium,Diesel
Alaska,2.78,3.07,2.74
Alabama,2.35,2.98,2.66
Arkansas,2.35,2.90,2.64
Arizona,2.72,3.23,2.79
California,3.56,3.86,3.75
Colorado,2.51,3.10,2.64
Connecticut,2.68,3.15,2.98
District of Columbia,2.79,3.42,3.04
Delaware,2.59,3.18,2.95
Florida,2.61,3.22,2.75
Georgia,2.51,3.12,2.77
Hawaii,3.42,3.81,4.11
Iowa,2.61,3.13,2.82
Idaho,2.49,2.85,2.84
Illinois,2.80,3.50,2.93
Indiana,2.64,3.24,2.93
Kansas,2.43,2.90,2.71
Kentucky,2.45,3.06,2.67
Louisiana,2.31,2.90,2.54
Massachusetts,2.56,3.04,2.84
Maryland,2.66,3.30,2.96
Maine,2.60,3.15,2.90
Michigan,2.64,3.25,2.86
Minnesota,2.57,3.07,2.82
Missouri,2.39,2.87,2.57
Mississippi,2.27,2.87,2.49
Montana,2.42,2.95,2.74
North Carolina,2.49,3.11,2.75
North Dakota,2.55,2.96,2.88
Nebraska,2.60,3.05,2.77
New Hampshire,2.53,3.10,2.79
New Jersey,2.76,3.26,3.02
New Mexico,2.50,3.05,2.68
Nevada,2.88,3.27,2.93
New York,2.69,3.20,3.00
Ohio,2.64,3.25,2.93
Oklahoma,2.37,2.83,2.58
Oregon,2.85,3.19,2.91
Pennsylvania,2.90,3.47,3.23
Rhode Island,2.55,3.08,2.85
South Carolina,2.42,3.04,2.68
South Dakota,2.57,3.00,2.78
Tennessee,2.40,3.01,2.67
Texas,2.32,2.90,2.53
Utah,2.38,2.72,2.78
Virginia,2.53,3.16,2.74
Vermont,2.57,3.09,2.90
Washington,2.99,3.35,3.02
Wisconsin,2.55,3.24,2.79
West Virginia,2.63,3.21,2.88
Wyoming,2.44,2.90,2.77
